name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,na_sales_share,eu_sales_share,jp_sales_share,other_sales_share,platform_era,is_top_publisher,publisher_games_count,name_length,decade,genre_Action,genre_Adventure,genre_Fighting,genre_Misc,genre_Platform,genre_Puzzle,genre_Racing,genre_Role-Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,platform_era_6th Gen,platform_era_7th Gen,platform_era_8th Gen,platform_era_Other,platform_era_PC,platform_era_Retro,platform_freq
Nintendogs,DS,2005,Simulation,Nintendo,0.6,0.275,0.1,0.1,1.085,0.36631663974151857,0.444264943457189,0.07794830371567042,0.11106623586429724,Other,1,702,10,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2163
Mario Kart DS,DS,2005,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4188727583262169,0.3232280102476516,0.1763450042698548,0.08198121263877027,Other,1,702,13,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2163
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.3896103896103896,0.2675324675324675,0.3116883116883117,0.03073593073593073,Retro,1,702,27,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,98
Wii Fit,Wii,2007,Sports,Nintendo,0.6,0.275,0.1,0.1,1.085,0.39348591549295775,0.3534330985915493,0.15845070422535212,0.09463028169014084,7th Gen,1,702,7,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1324
Wii Fit Plus,Wii,2009,Sports,Nintendo,0.6,0.275,0.1,0.1,1.085,0.41318181818181815,0.39045454545454544,0.11499999999999999,0.08136363636363636,7th Gen,1,702,12,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1324
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,0.6,0.275,0.1,0.1,1.085,0.6860678276810266,0.22639780018331807,0.010999083409715857,0.0765352887259395,7th Gen,0,189,18,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1264
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.3275700934579439,0.433177570093458,0.04532710280373832,0.19345794392523363,7th Gen,1,413,18,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1327
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4531475252282557,0.019221528111484865,0.019702066314271984,0.5079288803459876,6th Gen,1,413,29,2000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2161
Super Mario World,SNES,1990,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.6200873362445415,0.1819505094614265,0.1717612809315866,0.02668607472100922,Retro,1,702,17,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,239
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.23491592482690407,0.4579624134520277,0.20573689416419388,0.10138476755687438,Other,1,702,44,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2163
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.3496732026143791,0.24618736383442263,0.32897603485838783,0.07461873638344227,Other,1,702,29,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2163
Super Mario Land,GB,1989,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5970231532524807,0.149393605292172,0.23042998897464165,0.02315325248070562,Retro,1,702,16,1980,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,98
Super Mario Bros. 3,NES,1988,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5520833333333333,0.19907407407407407,0.2222222222222222,0.02662037037037037,Retro,1,702,19,1980,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,98
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,0.6,0.275,0.06,0.1,1.085,0.587912087912088,0.3241758241758242,0.003663003663003663,0.08424908424908424,7th Gen,1,413,18,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1264
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.5207430340557276,0.33993808049535607,0.02910216718266254,0.11021671826625389,6th Gen,1,413,27,2000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2161
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.38233438485804416,0.24605678233438485,0.33943217665615144,0.031545741324921134,6th Gen,1,702,29,2000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,822
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.36357702349869453,0.21409921671018275,0.36879895561357706,0.05352480417754569,Other,1,702,27,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2163
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,0.6,0.275,0.1,0.1,1.085,0.22483660130718952,0.35032679738562095,0.3477124183006536,0.07712418300653594,Other,1,702,43,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2163
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.45727636849132175,0.3397863818424566,0.12483311081441922,0.0774365821094793,6th Gen,1,683,22,2000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2161
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.6117886178861788,0.2899728997289973,0.00880758807588076,0.08943089430894309,7th Gen,1,975,30,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1264
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4023224043715847,0.3442622950819672,0.21311475409836064,0.04030054644808743,Retro,1,702,39,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,98
Call of Duty: Black Ops,X360,2010,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.66051912568306,0.2547814207650273,0.007513661202185792,0.07718579234972676,7th Gen,1,975,23,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1264
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.36027874564459933,0.28222996515679444,0.3024390243902439,0.055052264808362374,8th Gen,1,702,19,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,509
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4051966292134831,0.40800561797752805,0.024578651685393256,0.1622191011235955,8th Gen,1,975,25,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,336
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.35566642908054175,0.4191019244476123,0.046329294369208844,0.17961511047754813,7th Gen,1,975,26,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1327
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,0.6,0.275,0.07,0.1,1.085,0.6008739985433358,0.31318281136198106,0.005098324836125274,0.08157319737800438,7th Gen,1,975,26,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1264
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,0.6,0.275,0.08,0.1,1.085,0.6306439674315322,0.2686898593634345,0.005921539600296078,0.09548482605477425,7th Gen,1,975,30,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1264
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4115898959881129,0.4323922734026746,0.03640416047548291,0.12035661218424963,7th Gen,1,975,30,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1327
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.5335877862595421,0.34427480916030534,0.022900763358778626,0.09923664122137406,6th Gen,1,413,20,2000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2161
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,0.6,0.275,0.1,0.1,1.085,0.517638036809816,0.20015337423312884,0.2039877300613497,0.07822085889570553,7th Gen,1,702,23,2000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1324
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.46975648075412413,0.3487824037706206,0.03770620581304006,0.14375490966221524,7th Gen,1,975,23,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1327
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,0.6,0.275,0.1,0.1,1.085,0.20782396088019559,0.28687856560717195,0.4343928280358598,0.07171964140179299,Other,1,702,27,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2163
Mario Kart 7,3DS,2011,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.3882063882063882,0.3202293202293202,0.21867321867321865,0.07289107289107288,8th Gen,1,702,12,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,509
Halo 3,X360,2007,Shooter,Microsoft Game Studios,0.6,0.275,0.1,0.1,1.085,0.6565074135090609,0.2331136738056013,0.010708401976935749,0.09967051070840197,7th Gen,0,189,6,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1264
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.3171953255425709,0.4849749582637729,0.030050083472454088,0.1686143572621035,8th Gen,1,413,18,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,336
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,0.6,0.275,0.1,0.1,1.085,0.3697478991596639,0.23277310924369748,0.33277310924369746,0.06470588235294118,Other,1,702,36,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2163
Super Mario 64,N64,1996,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5811606391925989,0.23969722455845247,0.16063919259882253,0.01934398654331371,Retro,1,702,14,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,319
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,0.6,0.01,0.1,0.1,1.085,0.258147512864494,0.0008576329331046312,0.09433962264150944,0.6457975986277873,6th Gen,1,683,14,2000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2161
Super Mario Galaxy,Wii,2007,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5347222222222222,0.2951388888888889,0.10416666666666667,0.06597222222222222,7th Gen,1,702,18,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1324
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.37334510150044137,0.2974404236540159,0.27184466019417475,0.05736981465136805,8th Gen,1,702,41,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,509
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5509838998211092,0.18246869409660108,0.240608228980322,0.0259391771019678,Retro,1,702,34,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.6134301270417423,0.2813067150635209,0.012704174228675138,0.09346642468239565,7th Gen,1,413,19,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1264
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.36712328767123287,0.3534246575342466,0.2319634703196347,0.047488584474885846,Retro,1,683,12,1990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1196
Super Mario 3D Land,3DS,2011,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4531974050046339,0.2771084337349398,0.1974050046339203,0.07228915662650603,8th Gen,1,702,19,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,509
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.27483751160631387,0.4531104921077066,0.07520891364902507,0.19684308263695452,7th Gen,1,683,14,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1327
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.46679139382600565,0.34518241347053324,0.03554724041159963,0.15247895229186156,7th Gen,1,975,30,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1327
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.45033112582781454,0.35572374645222327,0.04162724692526017,0.1532639545884579,7th Gen,1,413,19,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1327
Super Mario All-Stars,SNES,1993,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5677725118483412,0.20379146919431276,0.2009478672985782,0.02748815165876777,Retro,1,702,21,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,239
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.41372735938989513,0.2526215443279313,0.3002859866539561,0.03336510962821735,6th Gen,1,702,33,2000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,822
Super Mario 64,DS,2004,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4875239923224568,0.29846449136276393,0.1199616122840691,0.09404990403071017,Other,1,702,14,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2163
Just Dance 3,Wii,2011,Misc,Ubisoft,0.6,0.275,0.0,0.1,1.085,0.5896686159844055,0.30701754385964913,0.0,0.10428849902534114,7th Gen,1,921,12,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1324
Call of Duty: Ghosts,X360,2013,Shooter,Activision,0.6,0.275,0.04,0.1,1.085,0.6581782566111655,0.25759059745347695,0.0039177277179236044,0.08031341821743387,7th Gen,1,975,20,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1264
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,0.6,0.275,0.08,0.1,1.085,0.7115384615384615,0.20040485829959512,0.008097165991902834,0.07894736842105263,7th Gen,0,189,11,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1264
Mario Kart 64,N64,1996,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5623100303951368,0.1965552178318136,0.2259371833839919,0.015197568389057751,Retro,1,702,13,1990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,319
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.3727087576374745,0.3126272912423625,0.2515274949083503,0.06415478615071284,8th Gen,1,702,23,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,509
Halo 4,X360,2012,Shooter,Microsoft Game Studios,0.6,0.275,0.04,0.1,1.085,0.6793032786885246,0.24180327868852458,0.004098360655737705,0.07479508196721311,7th Gen,0,189,6,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1264
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.30967078189300407,0.25411522633744854,0.33744855967078186,0.09876543209876543,Retro,1,683,17,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1196
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.4264859228362878,0.38894681960375393,0.03962460896767466,0.14389989572471323,7th Gen,1,975,20,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1327
Just Dance 2,Wii,2010,Misc,Ubisoft,0.6,0.275,0.01,0.1,1.085,0.6134453781512605,0.3035714285714286,0.001050420168067227,0.0819327731092437,7th Gen,1,921,12,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1324
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.4088514225500527,0.36037934668071653,0.1780821917808219,0.05268703898840885,Retro,1,683,14,1990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1196
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.6341201716738197,0.2553648068669528,0.013948497854077254,0.09656652360515021,7th Gen,1,975,30,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1264
Donkey Kong Country,SNES,1994,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.46881720430107526,0.18387096774193545,0.3225806451612903,0.024731182795698924,Retro,1,702,19,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,239
Minecraft,X360,2013,Misc,Microsoft Game Studios,0.6,0.275,0.02,0.1,1.085,0.6065217391304348,0.30760869565217397,0.002173913043478261,0.08369565217391305,7th Gen,0,189,9,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1264
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,0.6,0.275,0.1,0.1,1.085,0.2211221122112211,0.2552255225522552,0.4796479647964797,0.045104510451045104,8th Gen,1,702,25,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,509
Mario Party DS,DS,2007,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4944567627494457,0.20842572062084258,0.21951219512195122,0.07760532150776053,Other,1,702,14,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2163
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,0.6,0.275,0.1,0.1,1.085,0.5690045248868779,0.3235294117647059,0.011312217194570137,0.09615384615384616,7th Gen,0,71,27,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1264
Super Mario Kart,SNES,1992,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4041095890410959,0.1415525114155251,0.4349315068493151,0.02054794520547945,Retro,1,702,16,1990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,239
FIFA 16,PS4,2015,Sports,Electronic Arts,0.6,0.275,0.06,0.1,1.085,0.13074204946996468,0.7137809187279152,0.007067137809187279,0.14840989399293286,8th Gen,1,1348,7,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,336
Wii Party,Wii,2010,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.21083627797408716,0.4157832744405182,0.2932862190812721,0.0800942285041225,7th Gen,1,702,9,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1324
Halo 2,XB,2004,Shooter,Microsoft Game Studios,0.6,0.275,0.05,0.08,1.085,0.8032979976442874,0.18021201413427562,0.005889281507656066,0.009422850412249705,Other,0,189,6,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,824
Mario Party 8,Wii,2007,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4524940617577197,0.2731591448931116,0.18764845605700714,0.08669833729216152,7th Gen,1,702,13,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1324
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.34933973589435774,0.22328931572629052,0.37695078031212487,0.05162064825930372,Other,1,702,31,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2163
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,0.6,0.275,0.1,0.1,1.085,0.12864077669902912,0.6128640776699029,0.015776699029126214,0.24393203883495143,7th Gen,1,1348,14,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1327
The Sims 3,PC,2009,Simulation,Electronic Arts,0.6,0.275,0.0,0.1,1.085,0.12083847102342787,0.7916152897657214,0.0,0.08754623921085081,PC,1,1348,10,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,959
GoldenEye 007,N64,1997,Shooter,Nintendo,0.6,0.275,0.1,0.1,1.085,0.7169344870210136,0.24845488257107537,0.016069221260815822,0.018541409147095178,Retro,1,702,13,1990,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,319
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,0.6,0.275,0.1,0.1,1.085,0.3200992555831265,0.48387096774193544,0.08188585607940446,0.11290322580645161,7th Gen,1,639,34,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1324
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.36149068322981365,0.2571428571428571,0.3391304347826087,0.040993788819875775,6th Gen,1,683,15,2000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2161
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,0.6,0.275,0.1,0.1,1.085,0.2900763358778626,0.2188295165394402,0.4618320610687023,0.029262086513994912,Retro,0,52,18,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1196
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.3596938775510204,0.22704081632653061,0.34311224489795916,0.0701530612244898,Other,1,702,24,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2163
Pac-Man,2600,1982,Puzzle,Atari,0.6,0.275,0.0,0.08,1.085,0.9321382842509603,0.05761843790012804,0.0,0.010243277848911653,Retro,0,363,7,1980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,133
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.3756476683937824,0.36658031088082904,0.031088082901554404,0.2266839378238342,7th Gen,1,413,38,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1213
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4759427828348505,0.31469440832249673,0.12743823146944083,0.08322496749024708,7th Gen,1,702,20,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1324
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,0.6,0.275,0.1,0.1,1.085,0.3820078226857888,0.4289439374185137,0.02868318122555411,0.16036505867014342,8th Gen,1,1348,28,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,336
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,0.6,0.275,0.1,0.1,1.085,0.3684210526315789,0.4342105263157895,0.01842105263157895,0.18026315789473688,8th Gen,1,975,30,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,336
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,0.6,0.275,0.1,0.1,1.085,0.5394736842105263,0.24868421052631579,0.19078947368421054,0.02105263157894737,Retro,1,702,36,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,319
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,0.6,0.275,0.1,0.1,1.085,0.49868073878627966,0.2862796833773087,0.17282321899736147,0.040897097625329816,Retro,1,683,38,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1196
