image_path,label,crop,split
Cashew anthracnose/anthracnose1248_.jpg,Cashew anthracnose,Cashew,train
Cassava bacterial blight/bacterial blight1206_.jpg,Cassava bacterial blight,Cassava,train
Cashew red rust/red rust1182_.jpg,Cashew red rust,Cashew,train
Tomato septoria leaf spot/septoria leaf spot1332_.jpg,Tomato septoria leaf spot,Tomato,train
Tomato leaf blight/leaf blight502_.jpg,Tomato leaf blight,Tomato,train
Tomato healthy/healthy331_.jpg,Tomato healthy,Tomato,train
Maize leaf blight/leaf blight298_.jpg,Maize leaf blight,Maize,train
Cassava bacterial blight/bacterial blight1289_.jpg,Cassava bacterial blight,Cassava,train
Tomato septoria leaf spot/septoria leaf spot1200_.jpg,Tomato septoria leaf spot,Tomato,train
Cassava mosaic/mosaic353_.jpg,Cassava mosaic,Cassava,train
Tomato septoria leaf spot/septoria leaf spot578_.jpg,Tomato septoria leaf spot,Tomato,train
Cashew healthy/healthy372_.jpg,Cashew healthy,Cashew,train
Cashew healthy/healthy863_.jpg,Cashew healthy,Cashew,train
Cassava bacterial blight/bacterial blight1722_.jpg,Cassava bacterial blight,Cassava,train
Cassava mosaic/mosaic88_.jpg,Cassava mosaic,Cassava,train
Maize streak virus/streak virus385_.jpg,Maize streak virus,Maize,train
Cashew red rust/red rust758_.jpg,Cashew red rust,Cashew,train
Maize leaf spot/leaf spot1097_.jpg,Maize leaf spot,Maize,train
Tomato verticulium wilt/verticulium wilt741_.jpg,Tomato verticulium wilt,Tomato,train
Maize leaf spot/leaf spot535_.jpg,Maize leaf spot,Maize,train
Cassava healthy/healthy1052_.jpg,Cassava healthy,Cassava,train
Maize healthy/healthy97_.jpg,Maize healthy,Maize,train
Cassava brown spot/brown spot440_.jpg,Cassava brown spot,Cassava,train
Cashew leaf miner/leaf miner920_.jpg,Cashew leaf miner,Cashew,train
Cassava mosaic/mosaic938_.jpg,Cassava mosaic,Cassava,train
Tomato septoria leaf spot/septoria leaf spot1378_.jpg,Tomato septoria leaf spot,Tomato,train
Tomato septoria leaf spot/septoria leaf spot2001_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf spot/leaf spot165_.jpg,Maize leaf spot,Maize,train
Cassava green mite/green mite850_.jpg,Cassava green mite,Cassava,train
Cashew anthracnose/anthracnose1402_.jpg,Cashew anthracnose,Cashew,train
Cashew anthracnose/anthracnose323_.jpg,Cashew anthracnose,Cashew,train
Tomato septoria leaf spot/septoria leaf spot1714_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf blight/leaf blight718_.jpg,Maize leaf blight,Maize,train
Tomato septoria leaf spot/septoria leaf spot2002_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf blight/leaf blight871_.jpg,Maize leaf blight,Maize,train
Cassava mosaic/mosaic40_.jpg,Cassava mosaic,Cassava,train
Maize leaf spot/leaf spot359_.jpg,Maize leaf spot,Maize,train
Cassava healthy/healthy644_.jpg,Cassava healthy,Cassava,train
Cashew anthracnose/anthracnose23_.jpg,Cashew anthracnose,Cashew,train
Tomato leaf blight/leaf blight838_.jpg,Tomato leaf blight,Tomato,train
Cashew leaf miner/leaf miner998_.jpg,Cashew leaf miner,Cashew,train
Cashew anthracnose/anthracnose1143_.jpg,Cashew anthracnose,Cashew,train
Tomato verticulium wilt/leaf blight931_.jpg,Tomato verticulium wilt,Tomato,train
Cassava brown spot/brown spot19_.jpg,Cassava brown spot,Cassava,train
Cashew red rust/red rust1171_.jpg,Cashew red rust,Cashew,train
Cassava healthy/healthy608_.jpg,Cassava healthy,Cassava,train
Maize leaf blight/leaf blight83_.jpg,Maize leaf blight,Maize,train
Cassava green mite/green mite20_.jpg,Cassava green mite,Cassava,train
Cassava bacterial blight/bacterial blight2593_.jpg,Cassava bacterial blight,Cassava,train
Tomato septoria leaf spot/septoria leaf spot2344_-ME7xhu.jpg,Tomato septoria leaf spot,Tomato,train
Cassava bacterial blight/bacterial blight1723_.jpg,Cassava bacterial blight,Cassava,train
Cashew leaf miner/leaf miner1366_.jpg,Cashew leaf miner,Cashew,train
Cassava green mite/green mite426_.jpg,Cassava green mite,Cassava,train
Maize grasshoper/grasshoper390_.jpg,Maize grasshoper,Maize,train
Tomato leaf curl/leaf curl496_.jpg,Tomato leaf curl,Tomato,train
Maize leaf blight/leaf blight760_.jpg,Maize leaf blight,Maize,train
Maize leaf beetle/leaf beetle802_.jpg,Maize leaf beetle,Maize,train
Cassava bacterial blight/bacterial blight1838_.jpg,Cassava bacterial blight,Cassava,train
Cassava bacterial blight/bacterial blight1882_.jpg,Cassava bacterial blight,Cassava,train
Cassava healthy/healthy539_.jpg,Cassava healthy,Cassava,train
Cashew red rust/red rust827_.jpg,Cashew red rust,Cashew,train
Maize leaf blight/leaf blight629_.jpg,Maize leaf blight,Maize,train
Cassava healthy/healthy141_.jpg,Cassava healthy,Cassava,train
Cassava green mite/green mite819_.jpg,Cassava green mite,Cassava,train
Cashew healthy/healthy1053_.jpg,Cashew healthy,Cashew,train
Cassava bacterial blight/bacterial blight517_.jpg,Cassava bacterial blight,Cassava,train
Cassava bacterial blight/bacterial blight1514_.jpg,Cassava bacterial blight,Cassava,train
Maize grasshoper/grasshoper258_.jpg,Maize grasshoper,Maize,train
Tomato leaf blight/leaf blight656_.jpg,Tomato leaf blight,Tomato,train
Maize leaf beetle/leaf beetle34_.jpg,Maize leaf beetle,Maize,train
Cashew anthracnose/anthracnose706_.jpg,Cashew anthracnose,Cashew,train
Cassava green mite/green mite589_.jpg,Cassava green mite,Cassava,train
Cashew leaf miner/leaf miner1313_.jpg,Cashew leaf miner,Cashew,train
Cassava brown spot/brown spot113_.jpg,Cassava brown spot,Cassava,train
Tomato septoria leaf spot/septoria leaf spot493_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf beetle/leaf beetle61_.jpg,Maize leaf beetle,Maize,train
Maize streak virus/streak virus513_.jpg,Maize streak virus,Maize,train
Cassava mosaic/mosaic1146_.jpg,Cassava mosaic,Cassava,train
Cassava green mite/green mite672_.jpg,Cassava green mite,Cassava,train
Maize fall armyworm/fall armyworm223_.jpg,Maize fall armyworm,Maize,train
Maize leaf blight/leaf blight300_.jpg,Maize leaf blight,Maize,train
Cassava mosaic/mosaic606_.jpg,Cassava mosaic,Cassava,train
Cashew red rust/red rust187_.jpg,Cashew red rust,Cashew,train
Maize streak virus/streak virus931_.jpg,Maize streak virus,Maize,train
Cashew anthracnose/anthracnose891_.jpg,Cashew anthracnose,Cashew,train
Tomato septoria leaf spot/septoria leaf spot1624_.jpg,Tomato septoria leaf spot,Tomato,train
Tomato verticulium wilt/verticulium wilt296_.jpg,Tomato verticulium wilt,Tomato,train
Cassava healthy/healthy325_.jpg,Cassava healthy,Cassava,train
Cashew anthracnose/anthracnose591_.jpg,Cashew anthracnose,Cashew,train
Maize leaf blight/leaf blight795_.jpg,Maize leaf blight,Maize,train
Cashew gumosis/gumosis260_.jpg,Cashew gumosis,Cashew,train
Cassava mosaic/mosaic1157_.jpg,Cassava mosaic,Cassava,train
Cashew healthy/healthy1298_.jpg,Cashew healthy,Cashew,train
Tomato septoria leaf spot/septoria leaf spot1953_.jpg,Tomato septoria leaf spot,Tomato,train
Tomato leaf blight/leaf blight834_.jpg,Tomato leaf blight,Tomato,train
Tomato verticulium wilt/leaf blight929_.jpg,Tomato verticulium wilt,Tomato,train
Tomato leaf blight/leaf blight892_.jpg,Tomato leaf blight,Tomato,train
Maize leaf blight/leaf blight389_.jpg,Maize leaf blight,Maize,train
Tomato verticulium wilt/verticulium wilt25_.jpg,Tomato verticulium wilt,Tomato,train
Cassava green mite/green mite402_.jpg,Cassava green mite,Cassava,train
Cashew healthy/healthy65_.jpg,Cashew healthy,Cashew,train
Cassava bacterial blight/bacterial blight788_.jpg,Cassava bacterial blight,Cassava,train
Maize fall armyworm/fall armyworm133_.jpg,Maize fall armyworm,Maize,train
Cassava mosaic/mosaic453_.jpg,Cassava mosaic,Cassava,train
Maize leaf spot/leaf spot299_.jpg,Maize leaf spot,Maize,train
Cassava mosaic/mosaic655_.jpg,Cassava mosaic,Cassava,train
Tomato healthy/healthy25_.jpg,Tomato healthy,Tomato,train
Cassava healthy/healthy643_.jpg,Cassava healthy,Cassava,train
Cassava bacterial blight/bacterial blight208_.jpg,Cassava bacterial blight,Cassava,train
Tomato leaf blight/leaf blight186_.jpg,Tomato leaf blight,Tomato,train
Maize fall armyworm/fall armyworm178_.jpg,Maize fall armyworm,Maize,train
Tomato verticulium wilt/verticulium wilt80_.jpg,Tomato verticulium wilt,Tomato,train
Cassava bacterial blight/bacterial blight2273_.jpg,Cassava bacterial blight,Cassava,train
Cashew red rust/red rust750_.jpg,Cashew red rust,Cashew,train
Cashew red rust/red rust459_.jpg,Cashew red rust,Cashew,train
Maize leaf blight/leaf blight903_.jpg,Maize leaf blight,Maize,train
Cassava bacterial blight/bacterial blight1144_.jpg,Cassava bacterial blight,Cassava,train
Cashew leaf miner/leaf miner368_.jpg,Cashew leaf miner,Cashew,train
Cassava bacterial blight/bacterial blight1729_.jpg,Cassava bacterial blight,Cassava,train
Cassava healthy/healthy382_.jpg,Cassava healthy,Cassava,train
Tomato leaf curl/leaf curl303_.jpg,Tomato leaf curl,Tomato,train
Maize leaf spot/leaf spot201_.jpg,Maize leaf spot,Maize,train
Cassava mosaic/mosaic841_.jpg,Cassava mosaic,Cassava,train
Maize leaf spot/leaf spot1228_.jpg,Maize leaf spot,Maize,train
Tomato leaf blight/leaf blight788_.jpg,Tomato leaf blight,Tomato,train
Cassava mosaic/mosaic516_.jpg,Cassava mosaic,Cassava,train
Cassava green mite/green mite993_.jpg,Cassava green mite,Cassava,train
Maize streak virus/streak virus798_.jpg,Maize streak virus,Maize,train
Cashew red rust/red rust341_.jpg,Cashew red rust,Cashew,train
Maize streak virus/streak virus729_.jpg,Maize streak virus,Maize,train
Cassava bacterial blight/bacterial blight198_.jpg,Cassava bacterial blight,Cassava,train
Maize leaf beetle/leaf beetle274_.jpg,Maize leaf beetle,Maize,train
Cashew red rust/red rust530_.jpg,Cashew red rust,Cashew,train
Cassava bacterial blight/bacterial blight838_.jpg,Cassava bacterial blight,Cassava,train
Tomato leaf blight/leaf blight249_.jpg,Tomato leaf blight,Tomato,train
Maize leaf spot/leaf spot946_.jpg,Maize leaf spot,Maize,train
Cashew anthracnose/anthracnose1574_.jpg,Cashew anthracnose,Cashew,train
Cashew leaf miner/leaf miner921_.jpg,Cashew leaf miner,Cashew,train
Tomato septoria leaf spot/septoria leaf spot1008_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf blight/leaf blight381_.jpg,Maize leaf blight,Maize,train
Cassava brown spot/brown spot740_.jpg,Cassava brown spot,Cassava,train
Cassava mosaic/mosaic796_.jpg,Cassava mosaic,Cassava,train
Maize leaf spot/leaf spot685_.jpg,Maize leaf spot,Maize,train
Cashew red rust/red rust860_.jpg,Cashew red rust,Cashew,train
Tomato septoria leaf spot/septoria leaf spot59_.jpg,Tomato septoria leaf spot,Tomato,train
Maize grasshoper/grasshoper461_.jpg,Maize grasshoper,Maize,train
Maize leaf blight/leaf blight429_.jpg,Maize leaf blight,Maize,train
Maize leaf beetle/leaf beetle482_.jpg,Maize leaf beetle,Maize,train
Tomato leaf blight/leaf blight284_.jpg,Tomato leaf blight,Tomato,train
Tomato septoria leaf spot/septoria leaf spot2137_-Qnyq7M.jpg,Tomato septoria leaf spot,Tomato,train
Tomato leaf blight/leaf blight65_.jpg,Tomato leaf blight,Tomato,train
Cashew leaf miner/leaf miner502_.jpg,Cashew leaf miner,Cashew,train
Cassava healthy/healthy979_.jpg,Cassava healthy,Cassava,train
Tomato leaf blight/leaf blight713_.jpg,Tomato leaf blight,Tomato,train
Cashew anthracnose/anthracnose972_.jpg,Cashew anthracnose,Cashew,train
Maize streak virus/streak virus623_.jpg,Maize streak virus,Maize,train
Cashew red rust/red rust1198_.jpg,Cashew red rust,Cashew,train
Cashew leaf miner/leaf miner952_.jpg,Cashew leaf miner,Cashew,train
Cashew leaf miner/leaf miner733_.jpg,Cashew leaf miner,Cashew,train
Cashew gumosis/gumosis12_.jpg,Cashew gumosis,Cashew,train
Tomato leaf blight/leaf blight137_.jpg,Tomato leaf blight,Tomato,train
Cashew healthy/healthy1135_.jpg,Cashew healthy,Cashew,train
Maize healthy/healthy160_.jpg,Maize healthy,Maize,train
Cashew healthy/healthy109_.jpg,Cashew healthy,Cashew,train
Cashew anthracnose/anthracnose383_.jpg,Cashew anthracnose,Cashew,train
Cassava green mite/green mite612_.jpg,Cassava green mite,Cassava,train
Maize leaf spot/leaf spot602_.jpg,Maize leaf spot,Maize,train
Tomato septoria leaf spot/septoria leaf spot680_.jpg,Tomato septoria leaf spot,Tomato,train
Cashew anthracnose/anthracnose668_.jpg,Cashew anthracnose,Cashew,train
Cashew anthracnose/anthracnose732_.jpg,Cashew anthracnose,Cashew,train
Maize leaf blight/leaf blight669_.jpg,Maize leaf blight,Maize,train
Cashew healthy/healthy1028_.jpg,Cashew healthy,Cashew,train
Cassava bacterial blight/bacterial blight2424_.jpg,Cassava bacterial blight,Cassava,train
Tomato leaf blight/leaf blight254_.jpg,Tomato leaf blight,Tomato,train
Tomato septoria leaf spot/septoria leaf spot793_.jpg,Tomato septoria leaf spot,Tomato,train
Maize grasshoper/grasshoper324_.jpg,Maize grasshoper,Maize,train
Maize grasshoper/grasshoper419_.jpg,Maize grasshoper,Maize,train
Cassava bacterial blight/bacterial blight1770_.jpg,Cassava bacterial blight,Cassava,train
Tomato leaf curl/leaf curl422_.jpg,Tomato leaf curl,Tomato,train
Tomato healthy/healthy277_.jpg,Tomato healthy,Tomato,train
Cashew healthy/healthy478_.jpg,Cashew healthy,Cashew,train
Cashew healthy/healthy521_.jpg,Cashew healthy,Cashew,train
Tomato septoria leaf spot/septoria leaf spot1973_.jpg,Tomato septoria leaf spot,Tomato,train
Cashew healthy/healthy415_.jpg,Cashew healthy,Cashew,train
Tomato septoria leaf spot/septoria leaf spot2341_-VvVUrX.jpg,Tomato septoria leaf spot,Tomato,train
Cassava healthy/healthy1175_.jpg,Cassava healthy,Cassava,train
Tomato verticulium wilt/verticulium wilt613_.jpg,Tomato verticulium wilt,Tomato,train
Tomato septoria leaf spot/septoria leaf spot731_.jpg,Tomato septoria leaf spot,Tomato,train
Cassava bacterial blight/bacterial blight1531_.jpg,Cassava bacterial blight,Cassava,train
Cassava brown spot/brown spot1456_.jpg,Cassava brown spot,Cassava,train
Cashew anthracnose/anthracnose690_.jpg,Cashew anthracnose,Cashew,train
Cassava bacterial blight/bacterial blight2219_.jpg,Cassava bacterial blight,Cassava,train
Tomato leaf blight/leaf blight1073_.jpg,Tomato leaf blight,Tomato,train
Cashew healthy/healthy186_.jpg,Cashew healthy,Cashew,train
Tomato septoria leaf spot/septoria leaf spot889_.jpg,Tomato septoria leaf spot,Tomato,train
Tomato leaf blight/leaf blight236_.jpg,Tomato leaf blight,Tomato,train
Cassava bacterial blight/bacterial blight902_.jpg,Cassava bacterial blight,Cassava,train
Cashew anthracnose/anthracnose345_.jpg,Cashew anthracnose,Cashew,train
Tomato septoria leaf spot/septoria leaf spot572_.jpg,Tomato septoria leaf spot,Tomato,train
Tomato leaf curl/leaf curl321_.jpg,Tomato leaf curl,Tomato,train
Tomato verticulium wilt/verticulium wilt317_.jpg,Tomato verticulium wilt,Tomato,train
Maize leaf spot/leaf spot76_.jpg,Maize leaf spot,Maize,train
Tomato septoria leaf spot/septoria leaf spot19_.jpg,Tomato septoria leaf spot,Tomato,train
Cashew red rust/red rust1290_.jpg,Cashew red rust,Cashew,train
Cassava bacterial blight/bacterial blight522_.jpg,Cassava bacterial blight,Cassava,train
Tomato septoria leaf spot/septoria leaf spot2154_-UFejP1.jpg,Tomato septoria leaf spot,Tomato,train
Cashew healthy/healthy876_.jpg,Cashew healthy,Cashew,train
Cashew gumosis/gumosis331_.jpg,Cashew gumosis,Cashew,train
Tomato septoria leaf spot/septoria leaf spot1856_.jpg,Tomato septoria leaf spot,Tomato,train
Maize grasshoper/grasshoper451_.jpg,Maize grasshoper,Maize,train
Tomato septoria leaf spot/septoria leaf spot612_.jpg,Tomato septoria leaf spot,Tomato,train
Cassava healthy/healthy279_.jpg,Cassava healthy,Cassava,train
Cassava mosaic/mosaic845_.jpg,Cassava mosaic,Cassava,train
Maize leaf spot/leaf spot430_.jpg,Maize leaf spot,Maize,train
Cashew anthracnose/anthracnose773_.jpg,Cashew anthracnose,Cashew,train
Cassava bacterial blight/bacterial blight2207_.jpg,Cassava bacterial blight,Cassava,train
Cashew leaf miner/leaf miner364_.jpg,Cashew leaf miner,Cashew,train
Cashew gumosis/gumosis126_.jpg,Cashew gumosis,Cashew,train
Cashew healthy/healthy280_.jpg,Cashew healthy,Cashew,train
Tomato septoria leaf spot/septoria leaf spot1287_.jpg,Tomato septoria leaf spot,Tomato,train
Tomato septoria leaf spot/septoria leaf spot2069_-OqgkK0.jpg,Tomato septoria leaf spot,Tomato,train
Cashew healthy/healthy783_.jpg,Cashew healthy,Cashew,train
Maize streak virus/streak virus98_.jpg,Maize streak virus,Maize,train
Cashew leaf miner/leaf miner1061_.jpg,Cashew leaf miner,Cashew,train
Cassava green mite/green mite717_.jpg,Cassava green mite,Cassava,train
Maize leaf spot/leaf spot146_.jpg,Maize leaf spot,Maize,train
Cassava bacterial blight/bacterial blight695_.jpg,Cassava bacterial blight,Cassava,train
Tomato septoria leaf spot/septoria leaf spot1543_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf blight/leaf blight137_.jpg,Maize leaf blight,Maize,train
Cassava bacterial blight/bacterial blight291_.jpg,Cassava bacterial blight,Cassava,train
Cashew anthracnose/anthracnose1511_.jpg,Cashew anthracnose,Cashew,train
Maize fall armyworm/fall armyworm121_.jpg,Maize fall armyworm,Maize,train
Cashew gumosis/gumosis79_.jpg,Cashew gumosis,Cashew,train
Maize grasshoper/grasshoper525_.jpg,Maize grasshoper,Maize,train
Cashew red rust/red rust618_.jpg,Cashew red rust,Cashew,train
Maize leaf spot/leaf spot984_.jpg,Maize leaf spot,Maize,train
Tomato septoria leaf spot/septoria leaf spot1966_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf spot/leaf spot618_.jpg,Maize leaf spot,Maize,train
Cassava healthy/healthy47_.jpg,Cassava healthy,Cassava,train
Maize leaf blight/leaf blight1006_.jpg,Maize leaf blight,Maize,train
Cassava healthy/healthy885_.jpg,Cassava healthy,Cassava,train
Maize leaf spot/leaf spot737_.jpg,Maize leaf spot,Maize,train
Maize leaf blight/leaf blight146_.jpg,Maize leaf blight,Maize,train
Cashew gumosis/gumosis61_.jpg,Cashew gumosis,Cashew,train
Cashew healthy/healthy1002_.jpg,Cashew healthy,Cashew,train
Cashew red rust/red rust1064_.jpg,Cashew red rust,Cashew,train
Cassava mosaic/mosaic400_.jpg,Cassava mosaic,Cassava,train
Tomato septoria leaf spot/septoria leaf spot508_.jpg,Tomato septoria leaf spot,Tomato,train
Maize leaf spot/leaf spot264_.jpg,Maize leaf spot,Maize,train
Cassava mosaic/mosaic790_.jpg,Cassava mosaic,Cassava,train
Maize grasshoper/grasshoper652_.jpg,Maize grasshoper,Maize,train
Cashew leaf miner/leaf miner1032_.jpg,Cashew leaf miner,Cashew,train
Maize leaf spot/leaf spot578_.jpg,Maize leaf spot,Maize,train
Maize leaf blight/leaf blight272_.jpg,Maize leaf blight,Maize,train
Maize leaf blight/leaf blight779_.jpg,Maize leaf blight,Maize,train
Tomato leaf blight/leaf blight127_.jpg,Tomato leaf blight,Tomato,train
Tomato septoria leaf spot/septoria leaf spot451_.jpg,Tomato septoria leaf spot,Tomato,train
Tomato septoria leaf spot/septoria leaf spot1119_.jpg,Tomato septoria leaf spot,Tomato,train
Cassava brown spot/brown spot1176_.jpg,Cassava brown spot,Cassava,train
Tomato leaf curl/leaf curl65_.jpg,Tomato leaf curl,Tomato,train
Cashew anthracnose/anthracnose1435_.jpg,Cashew anthracnose,Cashew,train
Maize leaf beetle/leaf beetle836_.jpg,Maize leaf beetle,Maize,train
Cassava bacterial blight/bacterial blight1143_.jpg,Cassava bacterial blight,Cassava,train
Cassava healthy/healthy684_.jpg,Cassava healthy,Cassava,train
Cassava brown spot/brown spot1145_.jpg,Cassava brown spot,Cassava,train
Tomato septoria leaf spot/septoria leaf spot1927_-ekhJuo.jpg,Tomato septoria leaf spot,Tomato,train
Cassava bacterial blight/bacterial blight1787_.jpg,Cassava bacterial blight,Cassava,train
Cassava bacterial blight/bacterial blight558_.jpg,Cassava bacterial blight,Cassava,train
Cashew healthy/healthy1023_.jpg,Cashew healthy,Cashew,train
Cassava green mite/green mite457_.jpg,Cassava green mite,Cassava,train
Cashew anthracnose/anthracnose1200_.jpg,Cashew anthracnose,Cashew,train
Cassava mosaic/mosaic115_.jpg,Cassava mosaic,Cassava,train
Cashew anthracnose/anthracnose1540_.jpg,Cashew anthracnose,Cashew,train
