fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,wine_type,total_acidity,fixed_to_volatile,so2_ratio,sweetness,alcohol_band,is_high_alcohol,sugar_per_density,chlorides_per_alcohol,quality_label
8.9,0.62,0.18,3.8,0.10800000000000001,52.0,145.0,0.9986,3.16,0.855,9.2,5,red,9.7,14.355,0.3586,off_dry,medium,0,3.805,0.01174,0
8.9,0.62,0.19,3.9,0.10800000000000001,51.0,148.0,0.9986,3.17,0.855,9.2,5,red,9.71,14.355,0.3446,off_dry,medium,0,3.905,0.01174,0
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,red,9.34,30.357,0.3398,off_dry,medium,0,1.806,0.00876,1
8.1,0.56,0.28,1.7,0.10800000000000001,16.0,56.0,0.9968,3.11,0.855,9.3,5,red,8.94,14.464,0.2857,off_dry,medium,0,1.705,0.01161,0
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,red,8.07,12.542,0.2069,off_dry,low,0,4.411,0.00956,0
7.9,0.32,0.51,1.8,0.10800000000000001,17.0,56.0,0.9969,3.04,0.855,9.2,6,red,8.73,24.687,0.3036,off_dry,medium,0,1.806,0.01174,0
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,red,9.6,40.454,0.4833,off_dry,medium,0,1.806,0.00819,0
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,red,8.3,19.487,0.3239,off_dry,medium,0,2.304,0.00845,0
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.855,9.5,5,red,8.54,18.372,0.2703,off_dry,medium,0,1.605,0.01116,0
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,red,9.1,17.347,0.1343,off_dry,medium,0,2.307,0.00894,0
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,red,7.44,17.25,0.525,off_dry,medium,0,2.408,0.00876,0
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,red,6.85,16.154,0.4783,off_dry,medium,0,1.406,0.0086,0
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,red,8.25,18.537,0.3636,off_dry,medium,0,1.807,0.00842,0
7.1,0.6799999999999999,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,red,7.78,10.441,0.4,off_dry,medium,0,1.905,0.00851,0
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,red,8.445,12.093,0.5,off_dry,medium,0,2.007,0.00837,0
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,red,7.445,9.926,0.2073,off_dry,medium,0,2.41,0.00881,0
6.9,0.6799999999999999,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,red,7.58,10.147,0.5946,off_dry,high,0,2.509,0.00991,0
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,red,9.075,12.672,0.1327,off_dry,medium,0,2.308,0.00847,0
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,red,7.625,11.405,0.4819,medium,medium,0,10.707,0.00777,0
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,red,5.77,16.25,0.26,off_dry,medium,0,1.808,0.0112,0
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,red,8.445,12.093,0.2778,medium,medium,0,5.508,0.00896,0
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,red,8.54,13.0,0.2,off_dry,high,0,2.406,0.00796,0
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,red,8.76,21.316,0.4333,off_dry,medium,0,2.107,0.0068,1
5.7,0.6799999999999999,0.09,1.5,0.10800000000000001,7.0,19.0,0.994,3.5,0.48,9.8,4,red,6.47,8.382,0.3684,off_dry,medium,0,1.509,0.01102,0
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,red,8.11,16.222,0.1379,medium,medium,0,5.913,0.00705,0
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,red,9.71,14.426,0.3696,off_dry,medium,0,2.807,0.00946,0
7.5,0.49,0.2,2.6,0.10800000000000001,8.0,14.0,0.9968,3.21,0.855,10.5,6,red,8.19,15.306,0.5714,off_dry,medium,0,2.608,0.01029,0
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,0.855,10.3,5,red,8.98,12.273,0.3913,off_dry,medium,0,2.207,0.0067,0
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,red,7.49,10.149,0.4545,off_dry,medium,0,1.807,0.00526,0
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.66,0.56,13.1,4,red,5.27,8.846,0.1231,off_dry,very_high,1,2.114,0.00412,0
7.7,0.6799999999999999,0.43,2.2,0.10800000000000001,22.0,114.0,0.997,3.25,0.73,9.2,5,red,8.81,11.324,0.193,off_dry,medium,0,2.207,0.01174,0
8.7,0.29,0.52,1.6,0.10800000000000001,12.0,37.0,0.9969,3.25,0.58,9.5,5,red,9.51,30.0,0.3243,off_dry,medium,0,1.605,0.01137,0
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,red,7.03,16.0,0.4167,off_dry,medium,0,1.607,0.00717,0
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,red,6.28,18.064,0.125,off_dry,medium,0,1.406,0.00804,0
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,red,9.72,13.333,0.1739,off_dry,medium,0,1.705,0.00804,0
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,red,7.16,12.692,0.5333,off_dry,medium,0,2.21,0.00734,0
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,red,7.14,13.2,0.4286,off_dry,medium,0,2.109,0.00723,0
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,red,9.34,22.632,0.2521,off_dry,medium,0,3.009,0.00862,0
7.6,0.51,0.15,2.8,0.10800000000000001,33.0,73.0,0.9955,3.17,0.63,10.2,6,red,8.26,14.902,0.4521,off_dry,medium,0,2.813,0.01059,0
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,red,8.36,12.419,0.5556,off_dry,medium,0,3.808,0.00884,0
9.65,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,red,10.64,22.976,0.4,off_dry,medium,0,3.41,0.00729,0
7.5,0.63,0.12,5.1,0.10800000000000001,50.0,110.0,0.9983,3.26,0.77,9.4,5,red,8.25,11.905,0.4545,medium,medium,0,5.109,0.01149,0
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,red,8.57,13.22,0.3148,off_dry,medium,0,2.306,0.0076,0
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,red,8.0,18.718,0.1957,off_dry,medium,0,2.409,0.00787,0
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,red,9.6,22.0,0.3654,off_dry,medium,0,2.204,0.00859,0
7.7,0.6799999999999999,0.49,1.8,0.10800000000000001,20.0,112.0,0.9968,3.21,0.71,9.3,5,red,8.87,11.324,0.1786,off_dry,medium,0,1.806,0.01161,0
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,red,8.18,14.423,0.3429,off_dry,medium,0,1.906,0.00895,1
7.0,0.6799999999999999,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,red,7.73,10.294,0.2407,off_dry,medium,0,2.007,0.00827,0
7.2,0.6799999999999999,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,red,7.93,10.588,0.3636,off_dry,high,0,4.668,0.00789,0
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,red,8.13,14.423,0.2821,off_dry,medium,0,1.505,0.00823,0
6.6,0.6799999999999999,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,red,7.35,9.706,0.4,off_dry,high,0,1.606,0.0071,0
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,red,10.19,29.062,0.4154,off_dry,high,0,2.006,0.00692,0
8.0,0.6799999999999999,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.855,10.5,6,red,8.73,11.765,0.4211,off_dry,medium,0,1.907,0.00705,0
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,red,8.41,12.222,0.5556,off_dry,medium,0,1.906,0.008,0
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,red,8.6,11.493,0.1771,off_dry,medium,0,2.108,0.00926,0
7.7,0.6799999999999999,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,red,8.6,11.324,0.1915,off_dry,medium,0,1.907,0.00884,0
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,red,9.235,12.296,0.2558,off_dry,medium,0,2.105,0.00913,0
9.65,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,red,10.51,30.156,0.3373,off_dry,medium,0,2.504,0.00979,0
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,red,9.85,21.463,0.2143,off_dry,medium,0,2.203,0.00886,0
6.8,0.6799999999999999,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,red,7.48,10.0,0.4667,off_dry,high,0,2.408,0.00972,0
6.7,0.6799999999999999,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,red,7.5,9.853,0.15,off_dry,medium,0,2.008,0.00851,0
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,0.855,9.1,4,red,9.125,13.28,0.2269,off_dry,medium,0,1.504,0.00879,0
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,red,6.85,13.778,0.2,off_dry,medium,0,1.607,0.0075,0
7.8,0.43,0.6400000000000001,1.9,0.10800000000000001,22.0,67.0,0.9974,3.13,0.855,9.4,5,red,8.87,18.139,0.3284,off_dry,medium,0,1.905,0.01149,0
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,red,8.37,14.8,0.2877,off_dry,medium,0,2.006,0.00945,0
7.3,0.67,0.26,1.8,0.10800000000000001,16.0,51.0,0.9969,3.16,0.855,9.4,5,red,8.23,10.896,0.3137,off_dry,medium,0,1.806,0.01149,0
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,red,7.08,21.0,0.2951,off_dry,medium,0,1.807,0.0067,0
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,red,7.6,12.545,0.475,off_dry,medium,0,2.209,0.00752,0
8.6,0.49,0.28,1.9,0.10800000000000001,20.0,136.0,0.9972,2.93,0.855,9.9,6,red,9.37,17.551,0.1471,off_dry,medium,0,1.905,0.01091,0
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,red,8.45,15.714,0.2903,off_dry,medium,0,1.906,0.00646,0
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,0.855,9.5,5,red,10.13,23.846,0.272,off_dry,medium,0,2.105,0.01126,0
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,red,7.7,11.29,0.3333,off_dry,low,0,1.804,0.00844,0
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,red,8.68,15.192,0.3,off_dry,medium,0,1.907,0.00832,0
8.6,0.49,0.29,2.0,0.10800000000000001,19.0,133.0,0.9972,2.93,0.855,9.8,5,red,9.38,17.551,0.1429,off_dry,medium,0,2.006,0.01102,0
5.0,0.6799999999999999,0.04,1.4,0.045,41.0,85.0,0.9938,3.66,0.48,10.5,4,red,5.72,7.353,0.4824,off_dry,medium,0,1.409,0.00429,0
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.66,0.6,12.9,6,red,5.47,7.833,0.1604,off_dry,very_high,1,2.316,0.0045,0
6.8,0.6799999999999999,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,red,7.48,10.0,0.3478,off_dry,high,0,3.011,0.00953,0
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,red,7.75,14.0,0.1364,off_dry,medium,0,2.007,0.00761,0
7.6,0.6799999999999999,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,red,8.34,11.176,0.5,off_dry,medium,0,2.508,0.00806,0
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,red,8.825,14.862,0.3714,off_dry,low,0,1.905,0.00889,0
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,red,9.21,13.607,0.22,off_dry,medium,0,2.106,0.00824,0
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,red,8.6,15.6,0.3636,off_dry,medium,0,1.908,0.00721,0
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,red,8.895,14.087,0.1846,off_dry,medium,0,2.107,0.00837,0
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,red,7.93,14.694,0.1389,off_dry,medium,0,2.209,0.00745,0
7.8,0.41,0.6400000000000001,1.7,0.10800000000000001,18.0,69.0,0.9973,3.08,0.855,9.3,5,red,8.85,19.024,0.2609,off_dry,medium,0,1.705,0.01161,0
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,red,7.14,9.841,0.2344,off_dry,medium,0,1.705,0.00946,0
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,red,8.86,24.242,0.225,off_dry,medium,0,2.506,0.00948,0
8.1,0.6799999999999999,0.52,2.0,0.10800000000000001,37.0,153.0,0.9969,3.21,0.69,9.3,5,red,9.3,11.912,0.2418,off_dry,medium,0,2.006,0.01161,0
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.855,9.5,5,red,8.55,13.929,0.2553,off_dry,medium,0,1.807,0.01095,0
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,red,9.11,13.548,0.1019,off_dry,medium,0,2.208,0.00857,0
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,red,9.1,14.0,0.1261,off_dry,medium,0,2.208,0.00867,0
9.65,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,red,10.4,31.129,0.4783,off_dry,medium,0,2.303,0.00825,0
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,red,10.11,23.5,0.2097,off_dry,medium,0,2.208,0.00857,0
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,red,9.12,15.37,0.275,off_dry,medium,0,1.904,0.0077,0
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,red,8.48,13.929,0.25,off_dry,medium,0,2.006,0.00872,0
8.8,0.55,0.04,2.2,0.10800000000000001,14.0,56.0,0.9962,3.21,0.6,10.9,6,red,9.39,16.0,0.25,off_dry,high,0,2.208,0.00991,0
7.0,0.6799999999999999,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,red,7.76,10.294,0.2472,off_dry,medium,0,1.807,0.01054,0
7.3,0.6799999999999999,0.09,1.7,0.10800000000000001,10.0,89.0,0.9962,3.3,0.57,9.0,5,red,8.07,10.735,0.1124,off_dry,low,0,1.706,0.012,0
7.3,0.6799999999999999,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,red,7.98,10.735,0.2308,off_dry,medium,0,2.505,0.00815,0
8.0,0.6799999999999999,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,red,8.68,11.765,0.3235,off_dry,medium,0,2.606,0.00842,0
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,red,8.47,15.6,0.2059,off_dry,medium,0,1.606,0.00863,0
9.0,0.62,0.04,1.9,0.10800000000000001,27.0,90.0,0.9984,3.16,0.7,9.4,5,red,9.66,14.516,0.3,off_dry,medium,0,1.903,0.01149,0
8.2,0.6799999999999999,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,red,8.88,12.059,0.25,off_dry,high,0,1.706,0.00743,0
8.1,0.6799999999999999,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,red,8.78,11.912,0.25,off_dry,high,0,1.807,0.00752,0
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.855,10.5,7,red,8.75,13.559,0.1875,off_dry,medium,0,1.807,0.00619,1
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,red,6.63,16.053,0.3158,off_dry,medium,0,1.808,0.00766,0
8.0,0.6799999999999999,0.56,2.0,0.10800000000000001,30.0,134.0,0.9968,3.24,0.66,9.4,5,red,9.24,11.765,0.2239,off_dry,medium,0,2.006,0.01149,0
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,red,6.19,11.2,0.1717,off_dry,very_high,1,2.315,0.00377,0
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,red,7.11,13.2,0.6538,off_dry,medium,0,1.507,0.00612,0
7.9,0.6799999999999999,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,red,8.63,11.618,0.4483,off_dry,medium,0,2.209,0.00848,0
8.4,0.6799999999999999,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,red,9.19,12.353,0.254,off_dry,medium,0,1.907,0.00937,0
8.3,0.6799999999999999,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,red,9.13,12.206,0.1923,off_dry,medium,0,1.806,0.00937,0
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,red,7.975,17.349,0.2889,off_dry,medium,0,2.006,0.0088,0
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,red,8.55,13.929,0.1429,off_dry,medium,0,2.108,0.00853,0
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,red,8.55,13.929,0.1574,off_dry,medium,0,2.008,0.00853,0
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.66,0.79,14.0,6,red,5.54,15.294,0.4286,off_dry,very_high,1,1.815,0.00357,0
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,red,6.77,16.154,0.15,off_dry,medium,0,1.708,0.00702,0
8.1,0.67,0.55,1.8,0.10800000000000001,32.0,141.0,0.9968,3.17,0.62,9.4,5,red,9.32,12.09,0.227,off_dry,medium,0,1.806,0.01149,0
5.8,0.6799999999999999,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,red,6.5,8.529,0.2234,off_dry,medium,0,1.81,0.0087,0
7.6,0.49,0.26,1.6,0.10800000000000001,10.0,88.0,0.9968,3.11,0.8,9.3,5,red,8.35,15.51,0.1136,off_dry,medium,0,1.605,0.01161,0
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,red,7.49,14.082,0.4,off_dry,medium,0,2.309,0.00725,0
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,red,9.04,20.5,0.2558,off_dry,medium,0,2.807,0.00848,0
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,red,8.1,22.121,0.4545,off_dry,medium,0,2.109,0.00748,0
9.2,0.52,0.6400000000000001,3.4,0.10800000000000001,32.0,69.0,0.9996,2.7799999999999994,0.855,9.4,4,red,10.36,17.692,0.4638,off_dry,medium,0,3.401,0.01149,0
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,red,8.13,12.5,0.2525,off_dry,medium,0,1.809,0.00941,0
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,red,7.95,16.512,0.2248,medium,medium,0,5.515,0.00667,0
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,red,7.95,16.512,0.2187,medium,medium,0,5.515,0.00676,0
7.1,0.6799999999999999,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,red,7.78,10.441,0.5455,off_dry,medium,0,2.207,0.00785,0
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,red,7.58,11.333,0.2093,off_dry,medium,0,1.906,0.00849,0
7.6,0.6799999999999999,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,red,8.31,11.176,0.35,off_dry,medium,0,2.008,0.00937,0
7.6,0.6799999999999999,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,0.855,9.2,4,red,8.3,11.176,0.45,off_dry,medium,0,1.305,0.00783,0
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,red,8.37,14.717,0.5484,off_dry,medium,0,1.706,0.0076,0
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,red,8.26,12.333,0.2975,medium,medium,0,7.313,0.00745,0
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,red,8.15,12.373,0.2893,medium,medium,0,7.214,0.00745,0
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,red,8.91,12.381,0.1458,off_dry,medium,0,1.707,0.01053,0
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,red,7.54,10.625,0.1782,off_dry,medium,0,2.109,0.00833,0
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,red,7.88,13.273,0.4048,off_dry,low,0,1.607,0.008,0
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,red,7.5,10.794,0.25,off_dry,medium,0,2.11,0.00856,0
7.5,0.6799999999999999,0.24,1.8,0.10800000000000001,15.0,63.0,0.9964,3.0,0.855,9.5,5,red,8.42,11.029,0.2381,off_dry,medium,0,1.807,0.01137,0
7.9,0.6799999999999999,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,4,red,8.61,11.618,0.5,off_dry,medium,0,1.805,0.00637,0
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,red,8.59,19.048,0.3333,off_dry,medium,0,2.006,0.00793,0
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,red,8.07,11.935,0.5714,off_dry,high,0,1.907,0.00591,0
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,red,7.89,19.21,0.2,off_dry,medium,0,2.008,0.00842,0
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,red,7.44,13.8,0.3878,off_dry,medium,0,1.506,0.00895,0
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6,red,8.44,14.423,0.2105,off_dry,medium,0,2.306,0.00829,0
7.0,0.6799999999999999,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5,red,7.68,10.294,0.35,off_dry,medium,0,2.508,0.00708,0
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,red,9.55,14.426,0.2381,off_dry,medium,0,2.407,0.00705,0
8.9,0.61,0.49,2.0,0.10800000000000001,23.0,110.0,0.9972,3.12,0.855,9.3,5,red,10.0,14.59,0.2091,off_dry,medium,0,2.006,0.01161,0
7.2,0.6799999999999999,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,5,red,7.9,10.588,0.381,off_dry,medium,0,2.507,0.00817,0
